"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $687.00","STC","2","$0.06","$11.91"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $687.00","STC","1","$0.05","$4.95"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $687.00","STC","5","$0.05","$24.78"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $687.00","BTO","3","$0.07","($21.12)"
"2/6/2026","2/6/2026","2/9/2026","SPY","SPY 2/6/2026 Put $687.00","BTO","5","$0.10","($50.20)"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Call $609.00","STC","2","$0.37","$73.91"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Call $609.00","STC","1","$0.46","$45.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/6/2026 Call $609.00","BTO","3","$0.33","($99.12)"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Put $609.00","STC","1","$3.64","$363.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Put $609.00","BTO","1","$3.72","($372.04)"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Put $608.00","STC","1","$3.27","$326.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Put $608.00","BTO","1","$3.10","($310.04)"
"2/6/2026","2/6/2026","2/9/2026","MSFT","MSFT 3/13/2026 Call $420.00","STC","1","$6.10","$609.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Call $609.00","STC","1","$2.98","$297.95"
"2/6/2026","2/6/2026","2/9/2026","QQQ","QQQ 2/9/2026 Call $609.00","BTO","1","$2.90","($290.04)"
